"cz","Name","Individual_Income_Excluding_Spouse_at_Age_35"
"cz4401","London, KY",21957
"cz4800","Greenville, MS",21943
"cz4502","Hazard, KY",21780
"cz4602","Somerset, KY & TN",21448
"cz301","Middlesborough, KY & TN",20695
"cz4501","West Liberty, KY",20645
"cz34105","Kotzebue, AK",19864
"cz27602","Eagle Butte, SD",18295
"cz27605","Mission, SD",18113
"cz34112","Bethel, AK",15541
